,Unnamed: 0,dob,photo_taken,full_path,gender,name,face_score,second_face_score,size,age
0,0,1982-05-06 00:00:00,2009,17/10000217_1981-05-05_2009.jpg,1.0,Sami Jauhojärvi,4.3009623883308095,,"(257, 257)",27
2,2,1949-07-04 00:00:00,2008,12/100012_1948-07-03_2008.jpg,1.0,Marc Okrand,4.329328832406529,,"(457, 457)",59
4,4,1972-05-31 00:00:00,2012,16/10002116_1971-05-31_2012.jpg,0.0,Diana Damrau,3.408442415222501,,"(173, 173)",40
5,5,1961-11-10 00:00:00,2012,02/10002702_1960-11-09_2012.jpg,0.0,Krista Tippett,4.748056377951486,,"(185, 185)",51
6,6,1938-09-28 00:00:00,1971,41/10003541_1937-09-27_1971.jpg,1.0,Bernie Whitebear,4.1848283121533445,,"(214, 215)",33
10,10,1909-08-20 00:00:00,1950,99/10004299_1908-08-19_1950.jpg,1.0,Carl Greenberg,4.526657044651478,,"(346, 346)",41
11,11,1934-06-13 00:00:00,1969,56/1000456_1933-06-12_1969.jpg,1.0,Eddie Adams,5.5518409885255,,"(228, 228)",35
12,12,1988-05-16 00:00:00,2010,82/10004882_1987-05-16_2010.jpg,1.0,Viktor Pfeifer,3.97547825972838,,"(87, 87)",22
15,15,1982-04-08 00:00:00,2006,47/10005947_1981-04-07_2006.jpg,0.0,Sharka Blue,4.143016079572957,,"(457, 457)",24
17,17,1974-08-18 00:00:00,2010,50/10006850_1973-08-17_2010.jpg,1.0,David Bromstad,3.242851859571786,,"(301, 301)",36
19,19,1931-07-08 00:00:00,2008,81/1000781_1930-07-07_2008.jpg,1.0,Theodore Edgar McCarrick,3.680456090252123,,"(227, 227)",77
20,20,1890-05-20 00:00:00,1940,87/100087_1889-05-19_1940.jpg,1.0,"Thomas Midgley, Jr.",2.9926363865549197,,"(294, 294)",50
21,21,1969-03-24 00:00:00,2010,97/100097_1968-03-23_2010.jpg,1.0,Damon Albarn,4.297714671315127,,"(202, 201)",41
22,22,1981-11-09 00:00:00,2011,91/1001191_1980-11-08_2011.jpg,1.0,Diomansy Kamara,2.2752931504808536,,"(146, 146)",30
23,23,1982-01-31 00:00:00,2014,31/1001231_1981-01-30_2014.jpg,1.0,Peter Crouch,4.028333302478682,,"(141, 140)",32
24,24,1984-03-30 00:00:00,2011,32/10012532_1983-03-30_2011.jpg,0.0,Britta Johansson Norgren,4.585282807144463,,"(211, 211)",27
26,26,1921-12-01 00:00:00,1950,19/1001319_1920-11-30_1950.jpg,0.0,Virginia Mayo,2.2844780143481933,,"(346, 346)",29
27,27,1927-09-07 00:00:00,1986,31/100131_1926-09-06_1986.jpg,1.0,Prince Claus of the Netherlands,4.902966480237615,,"(426, 425)",59
28,28,1957-05-27 00:00:00,1969,45/10013345_1956-05-26_1969.jpg,1.0,Mehdi El Glaoui,4.598561071814541,,"(370, 370)",12
31,31,1954-12-30 00:00:00,2014,64/1001464_1953-12-29_2014.jpg,1.0,Alan Rusbridger,2.795553626934239,,"(350, 350)",60
32,32,1969-10-12 00:00:00,2010,95/10014795_1968-10-11_2010.jpg,1.0,Chandrachur Singh,5.83799354555387,,"(184, 184)",41
33,33,1978-03-02 00:00:00,2007,79/10015679_1977-03-01_2007.jpg,1.0,Maksim Buznikin,5.640263214902015,,"(105, 105)",29
35,35,1988-07-27 00:00:00,2012,74/10016074_1987-07-27_2012.jpg,1.0,Thomas Enevoldsen,5.198935529601353,,"(262, 262)",24
36,36,1989-02-03 00:00:00,2012,25/10016225_1988-02-03_2012.jpg,1.0,Gregory van der Wiel,3.097300263685132,,"(130, 131)",23
38,38,1964-07-28 00:00:00,2009,88/10016688_1963-07-28_2009.jpg,0.0,Katharina Franck,3.6644298834540887,,"(228, 228)",45
40,40,1974-08-04 00:00:00,2007,64/10017464_1973-08-03_2007.jpg,1.0,Daniel Stephan,5.343139771187023,,"(337, 337)",33
41,41,1931-05-12 00:00:00,2002,18/10018_1930-05-11_2002.jpg,1.0,Edsger W. Dijkstra,2.1200725654139307,,"(500, 500)",71
45,45,1961-05-15 00:00:00,2007,48/1002248_1960-05-14_2007.jpg,1.0,Ronan Tynan,2.01142503067685,,"(301, 301)",46
50,50,1938-11-28 00:00:00,1960,54/10024854_1937-11-27_1960.jpg,1.0,Marv Luster,2.174109050296276,,"(500, 500)",22
51,51,1985-05-18 00:00:00,2014,21/10026321_1984-05-17_2014.jpg,1.0,Igor Denisov,3.579296562259387,,"(262, 263)",29
52,52,1963-01-29 00:00:00,2009,87/1002787_1962-01-28_2009.jpg,1.0,Patrice Motsepe,2.3861838105359663,,"(370, 370)",46
53,53,1975-10-19 00:00:00,2007,62/10028362_1974-10-18_2007.jpg,1.0,Jeremy Scahill,3.574193712293149,,"(139, 139)",32
55,55,1957-10-11 00:00:00,2010,21/10028621_1956-10-10_2010.jpg,1.0,Ton van Loon,2.5018410061868983,,"(326, 327)",53
56,56,1955-03-27 00:00:00,2007,71/1002871_1954-03-26_2007.jpg,1.0,Curtis Sliwa,3.235915119442618,,"(265, 266)",52
57,57,1955-09-11 00:00:00,2009,23/1002923_1954-09-10_2009.jpg,1.0,Clark Johnson,2.497301543527888,,"(322, 322)",54
58,58,1967-02-01 00:00:00,2012,80/1002980_1966-01-31_2012.jpg,1.0,Dexter Fletcher,4.956032345809338,,"(278, 278)",45
59,59,1981-06-24 00:00:00,2013,13/10030613_1980-06-23_2013.jpg,0.0,Melissa Rauch,3.3197362746058414,,"(323, 322)",32
62,62,1966-04-11 00:00:00,2007,43/1003243_1965-04-10_2007.jpg,1.0,Jure Robič,4.004869221818018,,"(286, 287)",41
65,65,1946-06-15 00:00:00,2012,59/10033359_1945-06-14_2012.jpg,1.0,Bruce Degen,4.112617691089812,,"(398, 397)",66
