,Unnamed: 0,index,Unnamed: 0.1,dob,photo_taken,full_path,gender,name,face_score,second_face_score,size,age
1285,52580,173150,173150,1975-10-07 00:00:00,1997,38/nm0005438_rm2266929152_1974-10-6_1997.jpg,1.0,Jeremy Sisto,2.351568214146411,,"(271, 271)",22
95,74721,247131,247131,1991-10-19 00:00:00,2005,87/nm3127187_rm1690404352_1990-10-18_2005.jpg,,Bristol Palin,2.2816850652309912,,"(111, 110)",14
1981,49289,163651,163651,1970-02-09 00:00:00,2001,03/nm0005203_rm1184274688_1969-2-8_2001.jpg,0.0,Mary McCormack,2.021704540570492,,"(123, 123)",31
1990,24092,82031,82031,1976-10-05 00:00:00,2008,01/nm0000701_rm2616235264_1975-10-5_2008.jpg,0.0,Kate Winslet,2.6998956387554185,,"(294, 294)",32
3432,13432,45203,45203,1948-01-09 00:00:00,2013,09/nm0000309_rm51888896_1947-1-8_2013.jpg,1.0,David Bowie,4.076590434799516,,"(298, 298)",65
2186,110093,368137,368137,1956-10-21 00:00:00,2005,66/nm0362566_rm1016634112_1955-10-21_2005.jpg,0.0,Catherine Hardwicke,2.785382362202528,,"(72, 72)",49
1229,1607,5395,5395,1976-02-23 00:00:00,1998,06/nm0000106_rm4213873152_1975-2-22_1998.jpg,0.0,Drew Barrymore,3.35349882455529,,"(72, 72)",22
395,104369,348918,348918,1990-08-22 00:00:00,2006,63/nm0659363_rm1100910336_1989-8-21_2006.jpg,0.0,Hayden Panettiere,2.0222767155915498,,"(104, 105)",16
1938,75049,248647,248647,1981-01-17 00:00:00,2011,46/nm0221046_rm3921197056_1980-1-17_2011.jpg,0.0,Zooey Deschanel,2.2181942248735496,,"(263, 263)",30
94,88063,293740,293740,1988-03-01 00:00:00,2002,65/nm3732465_rm1339001856_1987-3-1_2002.jpg,0.0,Kesha,3.3011526712008235,,"(284, 284)",14
1156,120416,404795,404795,1990-08-16 00:00:00,2012,38/nm2679438_rm3704531456_1989-8-15_2012.jpg,1.0,Joe Jonas,3.942925399324604,,"(113, 113)",22
2305,8516,28633,28633,1956-05-17 00:00:00,2013,00/nm0000200_rm2726338560_1955-5-17_2013.jpg,1.0,Bill Paxton,2.06208357464076,,"(500, 500)",57
1487,124765,419817,419817,1984-02-24 00:00:00,2008,34/nm1289434_rm3504966400_1983-2-23_2008.jpg,0.0,Emily Blunt,3.1088750492582022,,"(252, 252)",24
1791,57340,188745,188745,1981-07-07 00:00:00,2008,92/nm1200692_rm402623232_1980-7-6_2008.jpg,0.0,Eva Green,2.5997013428508686,,"(239, 238)",27
35,134393,453144,453144,1995-03-02 00:00:00,2000,01/nm3595501_rm3799628288_1994-3-1_2000.jpg,1.0,Justin Bieber,2.8667702253659084,,"(275, 276)",5
3571,29718,101130,101130,1942-12-11 00:00:00,2009,17/nm0001217_rm3644950784_1941-12-10_2009.jpg,0.0,Fionnula Flanagan,3.624929072403727,,"(348, 348)",67
912,135843,458178,458178,1989-08-28 00:00:00,2009,86/nm0891786_rm429295872_1988-8-27_2009.jpg,0.0,Alexa PenaVega,3.913363858397293,,"(500, 500)",20
461,100896,337673,337673,1998-10-09 00:00:00,2015,74/nm2254074_rm3187800064_1997-10-8_2015.jpg,0.0,Bella Thorne,3.332321391466123,,"(500, 500)",17
318,113054,378289,378289,1990-12-19 00:00:00,2006,64/nm1667364_rm1023318784_1989-12-18_2006.jpg,0.0,Ashley Benson,4.943386140675719,,"(259, 259)",16
1,127842,430719,430719,2008-06-06 00:00:00,2009,45/nm4682545_rm1570754560_2007-6-6_2009.jpg,0.0,Aubrey Anderson-Emmons,2.4798926112873905,,"(171, 171)",1
1472,57266,188522,188522,1985-09-04 00:00:00,2009,89/nm0209289_rm2183105280_1984-9-3_2009.jpg,0.0,Paz de la Huerta,2.960118832002838,,"(97, 97)",24
1012,97495,325452,325452,1989-08-21 00:00:00,2010,48/nm1840748_rm2479412992_1988-8-20_2010.jpg,0.0,Nikki SooHoo,2.326037692260499,,"(421, 421)",21
757,83397,277529,277529,1994-09-28 00:00:00,2013,80/nm2138080_rm4076394496_1993-9-27_2013.jpg,1.0,Patrick Mölleken,2.249849225123302,,"(500, 500)",19
3273,31119,105543,105543,1946-07-02 00:00:00,2010,23/nm0001323_rm415468544_1945-7-1_2010.jpg,0.0,Debbie Harry,3.654711710059473,,"(225, 225)",64
1028,56750,186863,186863,1948-07-08 00:00:00,1969,81/nm0200981_rm311217664_1947-7-8_1969.jpg,0.0,Kim Darby,4.4554736015786105,,"(500, 500)",21
3936,4461,15135,15135,1931-06-01 00:00:00,2008,42/nm0000142_rm1054640640_1930-5-31_2008.jpg,1.0,Clint Eastwood,2.0907613631317656,,"(250, 250)",77
3025,23797,81153,81153,1939-12-30 00:00:00,2001,85/nm0000685_rm3335624704_1938-12-29_2001.jpg,1.0,Jon Voight,5.771973938666087,,"(307, 307)",62
358,118640,398284,398284,1992-06-18 00:00:00,2008,67/nm1473267_rm2118620928_1991-6-18_2008.jpg,0.0,Willa Holland,4.731177118913554,,"(222, 223)",16
